#******************************************************************************
#	STRUDEL FILE FOR AVONDALE PROFILE CARDS
#
#	Maciej Jablkowski - INTERGRAPH Corp., April 19th, 1999
#
# 	The following file contains codes for the Profile Card 
# 	symbol macro placement.
#
# Column 1 contains names of 3D ET macro retrieved from th model
# Column 2 contains a view type retrieved form ~~operator0 (flg/web)
# The rest of Columns contain arguments of symbol macros to be retrieved from 
# 3d macro and passed to 2d symbol macros.
#
# Parameters are coded to allow easier table maintenance. Codes contain paths
# to 3d macro feet:
#
#  <ci_mac>:<param> 	- a <param> value to be retrieved from the <ci_mac>
#                         which is a foot of ET macro
#  root:<param>     	- a <param> value to be retrieved from the ET macro. 
#		          <param> is a template of ET macro.
#
#  Vw - introduced due to inconsistent 3d macro structure. Allows to assign 
#	properly 2D macros to respective views (flg macro to flg view and 
#	vice versa. 
#	If the views are swapped, swap the Vw variable (0/1).
#
#  ETtype - codes a shape of end treatment:
#	0 - straight cut
#	1 - sniped end treatment
#	2 - beam terminated at another beam
#	3 - as above plus additional radius
#	4 - jog shaped end treatment
#	5 - transition down (not implemented yet)
#	6 - transition up (not implemented yet)
#
#	8 - template dependent on one beam size
#	9 - template dependent on two beam sizes
#
#  WebAngle - the angle of an end cut
#
#  Ttype - codes a top corner cut out type. Uses Thor, Tvert and Trad as 
#	   paremeters.
# 	0 - no cut. The rest of parameters can be set to 0.
#	1 - straight cut (snipe) 
#	2 - scallop (radius). Can be extended if Tvert or Thoriz are not equal.
#
#  Btype - codes a bottom corner cut out type. See Ttype for details.
#
#  FlCut - contains information about the flange to be shown on the web view. 
#	   The value itself shows the flange cut-back (cope).
#	   Negative values are used as flange snipe switches on Web views.
#	   0 value means there is no flange snipe and the program should 
#	   take full flange width for computing.
# 
#******************************************************************************

%CODES
#*******
BOTSC	et_output2:rsc_bot
TOPSC	et_output2:rsc_top
TOPSN	et_output2:sc_top
BOTSN	et_output2:sc_bot
TOPSR	et_output2:rsc_top
BOTSR	et_output2:rsc_bot
SC_LG	et_output2:scallop_lgth
EXT_S	root:ext_scal
X_WEB	et_output1:xweb
ANGLE	et_output1:angle0
WEBAN	et_output2:cope_angle
WEBHT	et_output2:cope_depth
WEB_R	et_output2:cope_radius
F_CUT	et_output2:cope
FL_SN	et_output1:w_snipe
FLLSN	et_output1:m3
FLRSN	et_output1:m4
TOPCT	et_output1:flg_angle
BOTCT	et_output1:flg_angle
WEBSN	et_output1:xweb


%END_CODES
#*********

%TABLE
#===============================================================================================================================================================
#			     |		WEB PART				                              |     FLANGE PART		               	       |
#===============================================================================================================================================================
# type 		Vw | ETType  | WebAngle| Ttype | Thor | Tvert | Trad  | Btype | Bhor | Bvert | Brad  | FlCut  | FlSn | LFlSn  | RFlSn | TFlAng| BFlAng| WebSn  | 
#===============================================================================================================================================================
default		1	0	ANGLE	0	0	0	0	0	0	0	0	0	0	0	0	90	90	0	
iget000		1	0	ANGLE	0	0	0	0	1	BOTSC	BOTSC	0	0	0	FLLSN	FLRSN	90	90	WEBSN
iget000a	1	0	ANGLE	0	0	0	0	0	0	0	0	0	0	FLLSN	FLRSN	90	90	WEBSN
iget001		1	0	ANGLE	0	0	0	0	2	0	0	BOTSC	0	0	FLLSN	FLRSN	90	90	WEBSN
iget001a	1	0	ANGLE	0	0	0	0	2	0	0	BOTSC	0	0	FLLSN	FLRSN	90	90	WEBSN
iget001b	1	0	ANGLE	0	0	0	0	2	0	0	BOTSC	0	0	FLLSN	FLRSN	90	90	WEBSN
iget001c	1	0	ANGLE	0	0	0	0	2	0	0	BOTSC	0	0	FLLSN	FLRSN	90	90	WEBSN
iget002		1	0	ANGLE	0	0	0	0	2	EXT_S	0	BOTSC	0	0	FLLSN	FLRSN	90	90	WEBSN
iget003		0	1	90	2	F_CUT	WEBHT	WEB_R	0	F_CUT	25	0	0	0	FLLSN	FLRSN	90	90	WEBSN
iget004		0	1	90	2	F_CUT	WEBHT	WEB_R	0	0	25	0	0	0	FLLSN	FLRSN	90	90	WEBSN
iget005		1	0	ANGLE	1	TOPSC	TOPSC	0	1	BOTSC	BOTSC	0	0	0	0	0	0	0	0
iget005a	1	0	ANGLE	1	TOPSC	TOPSC	0	1	BOTSC	BOTSC	0	0	0	0	0	0	0	0
iget005b	1	0	ANGLE	1	TOPSC	TOPSC	0	1	BOTSC	BOTSC	0	0	0	0	0	0	0	0
iget006		1	0	ANGLE	1	TOPSC	TOPSC	0	2	BOTSC	BOTSC	BOTSC	0	0	0	0	0	0	0
iget006a	1	0	ANGLE	1	TOPSC	TOPSC	0	2	BOTSC	BOTSC	BOTSC	0	0	0	0	0	0	0
iget006b	0	0	ANGLE	1	TOPSC	TOPSC	0	2	BOTSC	BOTSC	BOTSC	0	0	0	0	0	0	0
iget007		0	1	WEBAN	2	F_CUT	WEBHT	TOPSR	0	0	25	0	0	0	FLLSN	FLRSN	90	90	WEBSN
fb_snipe	1	1	WEBAN	2	F_CUT	WEBHT	TOPSR	0	0	25	0	0	0	FLLSN	FLRSN	90	90	WEBSN
iget007a	0	1	WEBAN	2	F_CUT	WEBHT	TOPSR	0	0	25	0	0	0	FLLSN	FLRSN	90	90	WEBSN
iget013		1	0	ANGLE	1	TOPSC	TOPSC	0	1	BOTSC	BOTSC	0	0	0	0	0	0	0	0
iget014		1	0	ANGLE	1	TOPSC	TOPSC	0	1	BOTSC	BOTSC	0	0	0	0	0	0	0	0
iget015		1	0	ANGLE	1	TOPSC	TOPSC	0	1	BOTSC	BOTSC	0	0	0	0	0	0	0	0
iget016		1	0	ANGLE	0	0	0	0	2	0	0	BOTSC	0	0	FLLSN	FLRSN	90	90	WEBSN
iget017		1	0	ANGLE	0	0	0	0	2	EXT_S	0	BOTSC	0	0	FLLSN	FLRSN	90	90	WEBSN
iget019         0       0       ANGLE   0       0       0       0       2       0       0       BOTSC   0       0       FLLSN   FLRSN   90      90      WEBSN
iget026		1	7	ANGLE	1	TOPSC	TOPSC	0	1	BOTSC	BOTSC	0	0	0	0	0	0	0	0
